Date;Suburb;Address;Rooms;Type;Price;Method;SellerG;;;;;;;
03/09/2016;Abbotsford;68 Studley St;2;h;825000;SS;Jellis;;;;;;;
03/12/2016;Abbotsford;85 Turner St;2;h;1480000;S;Biggin;;;;;;;
04/02/2016;Abbotsford;25 Bloomburg St;2;h;1035000;S;Biggin;;;;;;;
04/02/2016;Abbotsford;18/659 Victoria St;3;u;1801000;VB;Rounds;;;;;;;
04/03/2017;Abbotsford;5 Charles St;3;h;1465000;SP;Biggin;;;;;;;
04/03/2017;Abbotsford;40 Federation La;3;h;850000;PI;Biggin;;;;;;;
04/06/2016;Abbotsford;55a Park St;4;h;1600000;VB;Nelson;;;;;;;
06/08/2016;Abbotsford;16 Maugie St;4;h;1985000;SN;Nelson;;;;;;;
06/08/2016;Abbotsford;53 Turner St;2;h;956250;S;Biggin;;;;;;;
06/08/2016;Abbotsford;99 Turner St;2;h;897000;S;Collins;;;;;;;
07/05/2016;Abbotsford;129 Charles St;2;h;941000;S;Jellis;;;;;;;
07/05/2016;Abbotsford;124 Yarra St;3;h;1876000;S;Nelson;;;;;;;
07/11/2016;Abbotsford;121/56 Nicholson St;2;u;856000;PI;Biggin;;;;;;;
07/11/2016;Abbotsford;17 Raphael St;4;h;1985000;W;Biggin;;;;;;;
08/10/2016;Abbotsford;98 Charles St;2;h;1636000;S;Nelson;;;;;;;
08/10/2016;Abbotsford;217 Langridge St;3;h;1000000;S;Jellis;;;;;;;
08/10/2016;Abbotsford;18a Mollison St;2;t;745000;S;Jellis;;;;;;;
08/10/2016;Abbotsford;6/241 Nicholson St;1;u;300000;S;Biggin;;;;;;;
08/10/2016;Abbotsford;10 Valiant St;2;h;1097000;S;Biggin;;;;;;;
08/10/2016;Abbotsford;403/609 Victoria St;2;u;542000;S;Dingle;;;;;;;
10/12/2016;Abbotsford;2 Rich St;2;h;1636000;SP;Biggin;;;;;;;
10/12/2016;Abbotsford;25/84 Trenerry Cr;2;u;760000;SP;Biggin;;;;;;;
10/12/2016;Abbotsford;106/119 Turner St;1;u;481000;SP;Purplebricks;;;;;;;
12/11/2016;Abbotsford;411/8 Grosvenor St;2;u;700000;VB;Jellis;;;;;;;
12/11/2016;Abbotsford;40 Nicholson St;3;h;1350000;VB;Nelson;;;;;;;
12/11/2016;Abbotsford;123/56 Nicholson St;2;u;750000;S;Biggin;;;;;;;
12/11/2016;Abbotsford;22 Park St;4;h;1985000;S;Biggin;;;;;;;
12/11/2016;Abbotsford;13/84 Trenerry Cr;1;u;500000;S;Biggin;;;;;;;
13/08/2016;Abbotsford;45 William St;2;h;1172500;S;Biggin;;;;;;;
14/05/2016;Abbotsford;7/20 Abbotsford St;1;u;441000;SP;Greg;;;;;;;
15/10/2016;Abbotsford;16 William St;2;h;1310000;S;Jellis;;;;;;;
16/04/2016;Abbotsford;16/11 Nicholson St;3;u;1801000;PI;Philip;;;;;;;
16/07/2016;Abbotsford;42 Henry St;3;h;1200000;S;Jellis;;;;;;;
16/07/2016;Abbotsford;250 Langridge St;2;t;847000;S;Jellis;;;;;;;
16/07/2016;Abbotsford;16b Mollison St;2;h;1636000;PI;Biggin;;;;;;;
16/07/2016;Abbotsford;78 Yarra St;3;h;1176500;S;LITTLE;;;;;;;
17/09/2016;Abbotsford;196 Nicholson St;3;h;955000;S;Collins;;;;;;;
17/09/2016;Abbotsford;42 Valiant St;2;h;890000;S;Biggin;;;;;;;
18/03/2017;Abbotsford;3/72 Charles St;4;h;1330000;PI;Kay;;;;;;;
18/03/2017;Abbotsford;1/1 Mayfield St;3;h;962500;SP;Nelson;;;;;;;
18/03/2017;Abbotsford;13/11 Nicholson St;3;t;900000;S;Beller;;;;;;;
18/03/2017;Abbotsford;138/56 Nicholson St;3;u;1090000;S;Jellis;;;;;;;
18/06/2016;Abbotsford;6/219 Nicholson St;2;u;500000;S;Collins;;;;;;;
18/06/2016;Abbotsford;52a William St;2;h;1100000;PI;Biggin;;;;;;;
19/11/2016;Abbotsford;49 Park St;2;h;1315000;S;Marshall;;;;;;;
19/11/2016;Abbotsford;65/80 Trenerry Cr;1;u;480000;S;Biggin;;;;;;;
22/05/2016;Abbotsford;119/52 Nicholson St;1;u;423500;S;hockingstuart;;;;;;;
22/05/2016;Abbotsford;8b Park St;4;h;;PI;Biggin;;;;;;;
22/08/2016;Abbotsford;5/20 Abbotsford St;1;u;426000;SP;Greg;;;;;;;
22/08/2016;Abbotsford;48 Abbotsford St;3;h;1447500;PI;Nelson;;;;;;;
22/08/2016;Abbotsford;116/56 Nicholson St;1;u;457000;S;Jellis;;;;;;;
22/08/2016;Abbotsford;159 Park St;2;h;1135000;S;Nelson;;;;;;;
23/04/2016;Abbotsford;49/84 Trenerry Cr;2;h;700000;S;Biggin;;;;;;;
24/09/2016;Abbotsford;31 Turner St;4;h;1542000;S;Collins;;;;;;;
25/02/2017;Abbotsford;17/1 Abbot St;3;t;962000;SP;Jellis;;;;;;;
25/02/2017;Abbotsford;166 Gipps St;3;h;1290000;S;Biggin;;;;;;;
25/02/2017;Abbotsford;60 Stafford St;3;h;1290000;S;Biggin;;;;;;;
26/07/2016;Abbotsford;11/205 Gipps St;1;u;470000;S;Nelson;;;;;;;
27/11/2016;Abbotsford;47 Studley St;2;h;1180000;S;Jellis;;;;;;;
27/11/2016;Abbotsford;45 Yarra St;3;h;1195000;SP;Jellis;;;;;;;
28/05/2016;Abbotsford;4/328 Johnston St;2;u;1562500;PI;Biggin;;;;;;;
28/05/2016;Abbotsford;200 Nicholson St;2;h;1012500;S;Nelson;;;;;;;
28/05/2016;Abbotsford;82/84 Trenerry Cr;2;u;970000;SP;Biggin;;;;;;;
30/07/2016;Abbotsford;27 Charles St;2;h;1030000;S;Biggin;;;;;;;
30/07/2016;Abbotsford;22 Park St;4;h;1685000;W;Biggin;;;;;;;
30/07/2016;Abbotsford;40/80 Trenerry Cr;3;h;927000;S;Biggin;;;;;;;
03/09/2016;Airport West;154 Halsey Rd;3;t;840000;PI;Nelson;;;;;;;
03/12/2016;Airport West;50 Bedford St;3;h;730000;VB;Nelson;;;;;;;
04/03/2017;Airport West;50 Bedford St;3;h;770000;SP;Nelson;;;;;;;
04/03/2017;Airport West;5 Harrington Rd;3;h;1201000;S;Brad;;;;;;;
04/03/2017;Airport West;23 Hart St;2;h;603000;S;Nelson;;;;;;;
04/03/2017;Airport West;1/80 Hawker St;3;t;700000;S;Brad;;;;;;;
04/03/2017;Airport West;1/37 Hillside Gr;3;h;600000;S;Maddison;;;;;;;
04/03/2017;Airport West;2/49 McIntosh St;2;u;500000;VB;Barry;;;;;;;
04/06/2016;Airport West;4/9 West Ct;2;t;420000;VB;Barry;;;;;;;
04/06/2016;Airport West;1/36 York St;3;t;500000;VB;Nelson;;;;;;;
06/08/2016;Airport West;33 Bowes Av;5;h;1035000;S;Airport;;;;;;;
06/08/2016;Airport West;89 Bowes Av;4;h;960000;S;Barry;;;;;;;
06/08/2016;Airport West;45 Laurence Av;4;h;960000;S;Nelson;;;;;;;
06/08/2016;Airport West;54 Marshall Rd;3;h;720000;S;Barry;;;;;;;
06/08/2016;Airport West;36 Roberts Rd;4;h;785000;S;Considine;;;;;;;
07/05/2016;Airport West;11 Harrington Rd;6;h;725000;SP;Barry;;;;;;;
07/05/2016;Airport West;2/252 Parer Rd;2;t;450000;S;Barry;;;;;;;
07/11/2016;Airport West;3/19 Hart St;2;u;515000;S;Barry;;;;;;;
08/10/2016;Airport West;81a Roberts Rd;3;h;680000;VB;Nelson;;;;;;;
10/09/2016;Airport West;2/62 Clydesdale Rd;2;u;530000;S;Nelson;;;;;;;
10/09/2016;Airport West;3 Deidre Ct;3;h;895000;PI;Rendina;;;;;;;
10/09/2016;Airport West;3/24 Elstone Av;3;u;600000;VB;Nelson;;;;;;;
10/12/2016;Airport West;13 Etzel St;3;h;805000;S;Nelson;;;;;;;
10/12/2016;Airport West;37a North St;3;t;760000;PI;Barry;;;;;;;
11/02/2017;Airport West;1/43 Cameron St;3;u;752000;S;Nelson;;;;;;;
12/11/2016;Airport West;1/69 Bowes Av;3;u;580000;VB;Nelson;;;;;;;
12/11/2016;Airport West;2/9 El Reno Cr;3;h;725000;PI;Ray;;;;;;;
13/08/2016;Airport West;92 McNamara Av;4;h;758000;S;Jellis;;;;;;;
13/08/2016;Airport West;145a Victory Rd;2;u;440000;S;Barry;;;;;;;
14/05/2016;Airport West;20 Creswell Av;3;h;970000;S;Barry;;;;;;;
14/05/2016;Airport West;241 Parer Rd;5;h;755000;PI;Propertyau;;;;;;;
15/10/2016;Airport West;71 Bowes Av;4;h;985000;S;Barry;;;;;;;
15/10/2016;Airport West;2/40 Earl St;3;t;700000;PI;Brad;;;;;;;
15/10/2016;Airport West;2/112 Parer Rd;2;u;509500;SP;Nelson;;;;;;;
16/04/2016;Airport West;180 Parer Rd;3;h;830000;S;Barry;;;;;;;
16/07/2016;Airport West;4/54 Hawker St;2;u;462500;S;Barry;;;;;;;
16/07/2016;Airport West;43 Hillside Gr;3;h;670000;SP;Barry;;;;;;;
16/07/2016;Airport West;174 Parer Rd;2;h;675000;S;Barry;;;;;;;
16/07/2016;Airport West;138 Victory Rd;3;h;1042000;S;Nelson;;;;;;;
17/09/2016;Airport West;75 King St;3;h;910000;S;McDonald;;;;;;;
17/09/2016;Airport West;6 Kittyhawk St;4;h;773000;S;Brad;;;;;;;
17/09/2016;Airport West;7 McNamara Av;3;h;715000;S;Barry;;;;;;;
18/03/2017;Airport West;478 Fullarton Rd;3;h;810000;PI;Barry;;;;;;;
18/03/2017;Airport West;144 Marshall Rd;3;h;715000;S;Rendina;;;;;;;
18/03/2017;Airport West;106 Parer Rd;3;h;790000;S;Nelson;;;;;;;
18/06/2016;Airport West;1/41 Hillside Gr;2;t;460000;VB;Nelson;;;;;;;
18/06/2016;Airport West;3/7 South Rd;3;t;540000;SP;Nelson;;;;;;;
19/11/2016;Airport West;37 North St;3;t;825000;SP;Barry;;;;;;;
22/05/2016;Airport West;10 Hilbert Rd;3;h;685000;S;Barry;;;;;;;
22/05/2016;Airport West;7/42 York St;3;u;445000;S;Brad;;;;;;;
22/08/2016;Airport West;110 Halsey Rd;3;h;805000;S;Barry;;;;;;;
22/08/2016;Airport West;2/13 North St;2;u;510000;S;Nelson;;;;;;;
22/08/2016;Airport West;105a Victory Rd;3;h;612000;S;Nelson;;;;;;;
23/04/2016;Airport West;117 Marshall Rd;3;h;662000;S;Brad;;;;;;;
24/09/2016;Airport West;34 Moorna Dr;4;h;978000;S;Nelson;;;;;;;
25/02/2017;Airport West;2/89 Marshall Rd;3;u;;VB;Barry;;;;;;;
25/02/2017;Airport West;33 North St;3;h;720000;PI;Nelson;;;;;;;
26/07/2016;Airport West;4/40 McNamara Av;2;u;474000;PI;Barry;;;;;;;
26/07/2016;Airport West;5/93 McNamara Av;2;t;490000;SP;Frank;;;;;;;
27/06/2016;Airport West;2/137 McNamara Av;3;h;405000;S;Ray;;;;;;;
27/11/2016;Airport West;1/46 Bowes Av;3;t;715000;S;Barry;;;;;;;
27/11/2016;Airport West;1/34 Elstone Av;3;u;671500;S;McDonald;;;;;;;
27/11/2016;Airport West;49 Roberts Rd;4;h;765000;S;Prof.;;;;;;;
27/11/2016;Airport West;85 Roberts Rd;4;h;900000;S;Harcourts;;;;;;;
28/08/2016;Airport West;22a Walters Av;3;u;820000;S;Nelson;;;;;;;
30/07/2016;Airport West;1/145 Parer Rd;3;u;650000;PI;Nelson;;;;;;;
30/07/2016;Airport West;3/35 Walters Av;3;t;552000;SP;Nelson;;;;;;;
03/09/2016;Albert Park;105 Kerferd Rd;2;h;1275000;S;hockingstuart;;;;;;;
03/09/2016;Albert Park;85 Richardson St;2;h;1455000;S;Thomson;;;;;;;
04/03/2017;Albert Park;112 Beaconsfield Pde;3;h;2850000;PI;Buxton;;;;;;;
04/03/2017;Albert Park;94 Graham St;3;h;1850000;S;Greg;;;;;;;
04/03/2017;Albert Park;14 Merton St;2;h;1150000;SP;Marshall;;;;;;;
04/03/2017;Albert Park;396 Montague St;2;h;1436000;S;RT;;;;;;;
06/08/2016;Albert Park;9 Boyd St;3;h;1801000;SN;Greg;;;;;;;
06/08/2016;Albert Park;75 Graham St;2;h;1110000;S;Marshall;;;;;;;
07/05/2016;Albert Park;54 Brooke St;2;h;1550000;S;Sotheby's;;;;;;;
07/05/2016;Albert Park;104 Richardson St;4;h;2300000;S;Marshall;;;;;;;
07/05/2016;Albert Park;81 Richardson St;3;h;1801000;S;Marshall;;;;;;;
07/11/2016;Albert Park;4a Mills St;3;t;1550000;VB;Marshall;;;;;;;
07/11/2016;Albert Park;1 Moubray St;3;h;1800000;VB;Greg;;;;;;;
08/10/2016;Albert Park;114 Victoria Av;3;h;2485000;S;Cayzer;;;;;;;
10/09/2016;Albert Park;29 Faussett St;2;h;2120000;S;Greg;;;;;;;
10/09/2016;Albert Park;3 Herbert St;3;h;1800000;VB;Cayzer;;;;;;;
10/09/2016;Albert Park;24 Kerferd Pl;3;h;1800000;S;Marshall;;;;;;;
10/09/2016;Albert Park;5 Withers St;3;h;;SN;Marshall;;;;;;;
10/12/2016;Albert Park;44 Draper St;2;h;1810000;PI;Greg;;;;;;;
10/12/2016;Albert Park;2 Dundas Pl;3;h;2615000;S;Cayzer;;;;;;;
10/12/2016;Albert Park;23 Finlay St;5;h;2100000;S;Greg;;;;;;;
10/12/2016;Albert Park;31 Richardson St;3;h;1300000;S;hockingstuart;;;;;;;
12/06/2016;Albert Park;4a Gatehouse La;3;h;1370000;S;Greg;;;;;;;
12/11/2016;Albert Park;60 Brooke St;2;h;1000000;S;Cayzer;;;;;;;
13/08/2016;Albert Park;140 Danks St;2;h;1100000;SP;Marshall;;;;;;;
15/10/2016;Albert Park;70 Barrett St;3;h;2575000;S;Greg;;;;;;;
15/10/2016;Albert Park;65 Graham St;2;h;1322500;S;Greg;;;;;;;
15/10/2016;Albert Park;1 Herbert Pl;2;h;1120000;S;hockingstuart;;;;;;;
15/10/2016;Albert Park;364 Montague St;2;h;1562500;S;Greg;;;;;;;
16/04/2016;Albert Park;86 Mills St;3;h;2000000;VB;RT;;;;;;;
17/09/2016;Albert Park;28 Dinsdale St;4;h;3000000;S;Marshall;;;;;;;
18/03/2017;Albert Park;90 Danks St;3;h;;S;Marshall;;;;;;;
18/03/2017;Albert Park;129 Kerferd Rd;3;h;1900000;S;Greg;;;;;;;
18/03/2017;Albert Park;97 Page St;3;h;3010000;S;Greg;;;;;;;
18/06/2016;Albert Park;36 Ashworth St;3;h;1801000;SP;Marshall;;;;;;;
18/06/2016;Albert Park;55 Withers St;4;h;2800000;VB;Cayzer;;;;;;;
19/11/2016;Albert Park;18 Herbert St;3;h;760000;SN;Cayzer;;;;;;;
22/05/2016;Albert Park;10/140 Kerferd Rd;2;u;647000;S;Greg;;;;;;;
22/05/2016;Albert Park;9 Merton Pl;3;h;722000;SP;Marshall;;;;;;;
23/04/2016;Albert Park;55 Merton St;3;h;2100000;SP;Marshall;;;;;;;
24/09/2016;Albert Park;16 Dinsdale St;3;h;1801000;S;Greg;;;;;;;
24/09/2016;Albert Park;51 Graham St;2;h;1562500;PI;Marshall;;;;;;;
24/09/2016;Albert Park;143 Kerferd Rd;7;h;;SN;hockingstuart;;;;;;;
24/09/2016;Albert Park;49 Page St;3;h;2000000;PI;Marshall;;;;;;;
25/02/2017;Albert Park;13/52 Moubray St;1;u;442500;S;Marshall;;;;;;;
25/02/2017;Albert Park;115 Page St;4;h;4735000;S;Marshall;;;;;;;
25/02/2017;Albert Park;32 Page St;2;h;1340000;S;Greg;;;;;;;
25/02/2017;Albert Park;34 Richardson St;3;h;1801000;S;hockingstuart;;;;;;;
26/07/2016;Albert Park;2b Dundas Pl;3;h;1532000;S;Chisholm;;;;;;;
26/07/2016;Albert Park;22 Greig St;3;h;3755000;S;Greg;;;;;;;
27/06/2016;Albert Park;27 Barrett St;4;h;2140000;S;Greg;;;;;;;
27/06/2016;Albert Park;3 Faussett St;2;u;1810000;PI;Marshall;;;;;;;
27/11/2016;Albert Park;44 Greig St;2;h;1750000;S;Marshall;;;;;;;
28/05/2016;Albert Park;6 Brooke St;2;h;980000;S;Greg;;;;;;;
28/05/2016;Albert Park;7 Herbert Pl;2;h;100000;SP;Marshall;;;;;;;
28/05/2016;Albert Park;8 Kerferd Pl;4;h;2900000;SP;Marshall;;;;;;;
28/05/2016;Albert Park;5 Reed St;3;h;1890000;SN;Greg;;;;;;;
28/08/2016;Albert Park;227a Danks St;3;h;2030000;S;hockingstuart;;;;;;;
28/08/2016;Albert Park;17 Reed St;3;h;1740000;PI;Marshall;;;;;;;
30/07/2016;Albert Park;74 Bridport St;3;h;2800000;VB;Buxton;;;;;;;
30/07/2016;Albert Park;9 Durham St;1;h;985000;S;Marshall;;;;;;;
03/09/2016;Alphington;30 Austin St;3;h;2201000;SN;McGrath;;;;;;;
03/09/2016;Alphington;6 Smith St;4;h;2000000;S;Brace;;;;;;;
03/09/2016;Alphington;5/6 Yarralea St;3;h;1110000;S;Jellis;;;;;;;
04/03/2017;Alphington;136A Fulham Rd;3;h;1492000;S;Jellis;;;;;;;
07/05/2016;Alphington;1/9 Roemer Cr;2;u;480000;PI;Miles;;;;;;;
07/05/2016;Alphington;4 Tuckett St;3;h;560000;S;Jellis;;;;;;;
08/10/2016;Alphington;2/21 Fulham Rd;3;t;1304000;SP;Holland;;;;;;;
